"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","22nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C2","10nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C3,C4","10pF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","2",""
"C5","1nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C6","47nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"C7,C8,C9,C10,C11,C12,C13","100nF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","7",""
"D1,D2","1N4148","https://assets.nexperia.com/documents/data-sheet/1N4148_1N4448.pdf","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"D3,D4","BAT85","~","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","2",""
"J1,J2,J4","DRD_2A","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","3",""
"J3","Floppy","~","Connector_IDC:IDC-Header_2x17_P2.54mm_Vertical","1",""
"J6","Power","~","TerminalBlock:TerminalBlock_bornier-2_P5.08mm","1",""
"R1,R3,R14","10K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","3",""
"R2,R5","1K5","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","2",""
"R4","6K8","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R6","33K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R7","68K","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R8","1M","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","1",""
"R9,R10,R11,R12,R13","680R","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","5",""
"SW1","AB/BA","","SW_DPDT_XLX","1",""
"SW2","SIDE","","SW_DPDT_XLX","1",""
"SW3","READY","","SW_DPDT_XLX","1",""
"U1,U5","74LS04","http://www.ti.com/lit/gpn/sn74LS04","Package_DIP:DIP-14_W7.62mm_LongPads","2",""
"U2","UPD765","","Package_DIP:DIP-40_W15.24mm_LongPads","1",""
"U3","SED9420","","Package_DIP:DIP-24_W15.24mm_LongPads","1",""
"U4","74LS00","http://www.ti.com/lit/gpn/sn74ls00","Package_DIP:DIP-14_W7.62mm_LongPads","1",""
"U6","74HC138","http://www.ti.com/lit/ds/symlink/cd74hc238.pdf","Package_DIP:DIP-16_W7.62mm_LongPads","1",""
"U7","74HC74","74xx/74hc_hct74.pdf","Package_DIP:DIP-14_W7.62mm_LongPads","1",""
"Y1","16MHz","~","Crystal:Crystal_HC49-U_Vertical","1",""
"Z1","ZXBUS+2A/3`","","Common:ZX_CONN","1",""
